published_at,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,followers,engagement_rate_by_follower,engagement_rate_lift,estimated_impressions,engagement_rate_by_estimated_impression,post_tag_ugc,post_tag_contests
21/12/2024 04:43,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Effortless pumping made simple with the eufy Wearable Breast Pump, S1! 🤱✨ Designed for comfort, efficiency, and discretion, it’s a game-changer for moms. 💖 _thatmillennialmom_",https://www.instagram.com/reel/DD1mS_JMM-W/,,,,https://d1cdkkfhgor70g.cloudfront.net/DD1mS_JMM-W?postNativeId=18079368193585908,reel,,,79,68,11,17104,0.004618803,2.0460255276457158,3228,0.024473358116480794,0,0
16/12/2024 06:56,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Designed for comfort, convenience, and privacy—experience the eufy Wearable Breast Pump S1 Pro with HeatFlow™ technology for a gentle, skin-like experience. 🌸 Discreet and portable, it’s your perfect companion for pumping on the go. 📹 daja.monique_",https://www.instagram.com/reel/DDo9ea-oHg8/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDo9ea-oHg8?postNativeId=18052235833995021,reel,,,77,70,7,17104,0.004501871,1.9942256281412158,3224,0.023883374689826303,1,0
02/09/2024 10:03,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Pump anywhere, anytime! 🥰 Discreet, comfy, and with HeatFlow tech for better milk flow. The portable charging case makes it perfect for moms on the move! 💼 Click the link in bio to learn more! #MomOnTheGo #breastfeedingtips",https://www.instagram.com/p/C_a7dbFirgx/,,,,https://d1cdkkfhgor70g.cloudfront.net/C_a7dbFirgx?postNativeId=18138408895351779,photo,,,77,71,6,17104,0.004501871,1.9942256281412158,1928,0.039937759,0,0
17/09/2024 10:30,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Pump warm for a better flow with the S1 Pro 🥰 Click the link in the bio to learn more 📸 - imamamamaria,https://www.instagram.com/p/DABmextotwH/,,,,https://d1cdkkfhgor70g.cloudfront.net/DABmextotwH?postNativeId=18051802927882412,photo,,,72,63,9,17104,0.004209542,1.8647262850477102,1904,0.037815126050420166,1,0
27/12/2024 09:04,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Breast pumping made easy with eufy Baby! 🤱 The eufy Wearable Breast Pump transforms the way you pump—comfort, convenience, and confidence all in one. lalactaion",https://www.instagram.com/reel/DEFg503P95f/,,,,https://d1cdkkfhgor70g.cloudfront.net/DEFg503P95f?postNativeId=17994106502744379,reel,,,70,62,8,17104,0.00409261,1.812926710076751,3023,0.023155805491233875,0,0
31/05/2024 20:31,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Maximize Your Milk Output with Safe, Hospital-Grade Suction of up to 290 mmHg 💪 Customize Suction Strength and Cycle Speed to Suit Your Unique Needs 🔄 Rest Assured: All Skin and Milk-Contact Components Crafted from BPA-Free, Food-Grade Materials 🍼 Fine-Tune Your Pumping Rhythm with the eufy Baby App for a Personalized Session 🎵 Control Your Pump Remotely for a Convenient, Hands-Free Experience 📲 eufy Wearable Breast Pump S1 Pro 💥 👉 https://eufyofficial.com/Flow",https://www.instagram.com/reel/C7qAmRFMM5E/,,,,https://d1cdkkfhgor70g.cloudfront.net/C7qAmRFMM5E?postNativeId=18018460271339823,reel,,,66,56,10,17104,0.003858746,1.7093278383045099,2930,0.022525597269624574,0,0
05/05/2025 12:39,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Meet the Heated Wearable Breast Pump E20! Small comfort, Efficient results. Made for moms on the move! The perfect Mother’s Day Gift! 📌 Link in Bio! #breastmilk #breastpump #mothersday #mothersdaygifts #portablepump #firsttimemom",https://www.instagram.com/p/DJSEGnjSr-k/,,,,https://d1cdkkfhgor70g.cloudfront.net/DJSEGnjSr-k?postNativeId=18124550098449034,photo,,,65,58,7,17104,0.003800281,1.683428178313284,1702,0.038190364277320796,0,0
18/11/2024 09:48,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Pump smarter, not harder! 💪 The eufy Wearable Breast Pump S1 Pro is a total game-changer. 👜✨ Hands-free, portable, and designed for moms on the move! 💕 🔗 Link in Bio #MomLife #BreastfeedingJourney #eufy #blackfriday",https://www.instagram.com/reel/DChKuhkgikG/,,,,https://d1cdkkfhgor70g.cloudfront.net/DChKuhkgikG?postNativeId=18035842673517368,reel,,,61,55,6,17104,0.003566417,1.5798297701547848,2771,0.022013713,0,0
19/07/2024 09:14,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"A mother’s love is instinctual and unconditional, rushing to her baby’s cry with tenderness and care 💕👶",https://www.instagram.com/reel/C9m-B0HoEpD/,,,,https://d1cdkkfhgor70g.cloudfront.net/C9m-B0HoEpD?postNativeId=18320398426199774,reel,,,59,58,1,17104,0.003449486,1.5280307051589417,2755,0.021415607985480943,0,0
19/03/2025 12:54,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Designed for comfort, convenience, and privacy—experience the eufy Wearable Breast Pump S1 Pro with HeatFlow technology for a gentle skin-like experience. Link in Bio!",https://www.instagram.com/p/DHZEdqqSEu-/,,,,https://d1cdkkfhgor70g.cloudfront.net/DHZEdqqSEu-?postNativeId=18062503873954753,photo,,,58,55,3,17104,0.00339102,1.502131207431763,1444,0.040166205,0,0
09/05/2025 11:22,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"🎉 It’s officially time for our Mother’s Day Sale! From April 28th-May 11th, treat yourself to smoother days and stress-free pumping 💖 Get up to $60 off our award-winning EufyBaby Heated Breast Pump and more! 🍼 🔗 Check out the savings: [LINK IN BIO]",https://www.instagram.com/p/DJcOdQUyUBT/,,,,https://d1cdkkfhgor70g.cloudfront.net/DJcOdQUyUBT?postNativeId=17850772014450537,carousel,,,56,33,23,17104,0.003274088,1.450332281518736,2444,0.022913256955810146,0,0
30/06/2025 16:01,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,It’s so important to have lots of protein but it also helps that the breast pump is heated 👍🏻 #eufybaby #momlife #firsttimemom #breastfeeding #breastmilk #breastfeedingtips #breastfeedingjourney #newmoms,https://www.instagram.com/reel/DLinoldByaO/,,,,https://d1cdkkfhgor70g.cloudfront.net/DLinoldByaO?postNativeId=18409438936101529,reel,,,55,54,1,17104,0.003215622,1.4244328533328248,2516,0.021860095389507155,0,0
29/11/2024 11:41,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Black Friday must-haves for new parents! 🍼👶 Save BIG on our top-rated breast pumps and baby monitors. Click the link in our bio! 🔗,https://www.instagram.com/p/DC9suImg_su/,,,,https://d1cdkkfhgor70g.cloudfront.net/DC9suImg_su?postNativeId=18043749878473888,carousel,,,55,42,13,17104,0.003215622,1.4244328533328248,1827,0.030103996,0,0
06/06/2024 09:58,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,A mother’s love for her baby is unmatched and beyond words 💖 #Breastfeeding,https://www.instagram.com/reel/C74U-fPsyuD/,,,,https://d1cdkkfhgor70g.cloudfront.net/C74U-fPsyuD?postNativeId=18247844830246973,reel,,,53,47,6,17104,0.00309869,1.3726340665020529,2440,0.021721311475409837,0,0
17/06/2025 14:35,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,🎉 Win a FREE eufy Breast Pump E20! Link in Bio! Join our live today at 7pm CST,https://www.instagram.com/p/DLA_hngTvyY/,,,,https://d1cdkkfhgor70g.cloudfront.net/DLA_hngTvyY?postNativeId=17916180444100270,carousel,,,52,46,6,17104,0.003040225,1.3467347078571295,1604,0.032418952618453865,0,0
26/06/2025 17:02,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"🎉 Win a FREE eufy Breast Pump S1! We’re going LIVE with Rebekah Scroggy, BSN, RN, IBCLC to answer your biggest breastfeeding questions — from latching tips to boosting milk supply! 🍼💬 🗓️ Thursday, July 3rd @ 7 PM (CT) 🎥 Don’t miss your chance to learn from a certified expert AND enter to win a top-rated eufy breast pump! 👇 Comment below and tell us — What are you most curious about when it comes to breastfeeding or pumping? Your question might be answered live! 💡 LINK IN BIO",https://www.instagram.com/p/DLYbivGyBkk/,,,,https://d1cdkkfhgor70g.cloudfront.net/DLYbivGyBkk?postNativeId=17875193346265774,photo,,,50,37,13,17104,0.002923293,1.2949360601080526,1807,0.027670172,1,1
